Filename,URN,Title,Author,Editor,Publisher,Publication Year,Language,Size,Location,Source
tlg2018.tlg011.1st1K-grc1.xml,urn:cts:greekLit:tlg2018.tlg011.1st1K-grc1,Onomasticon,Eusebius,Erich Klostermann,J. C. Hinrichs'sche Buchhandlung,1904,Greek,313290,data/tlg2018/tlg011,data
tlg2018.tlg011.1st1K-lat1.xml,,Onomasticon,Eusebius,Erich Klostermann,J. C. Hinrichs'sche Buchhandlung,1904,Latin,180675,data/tlg2018/tlg011,data
tlg2018.tlg020.1st1K-grc1.xml,urn:cts:greekLit:tlg2018.tlg020.1st1K-grc1,Vita Constantini,Eusebius,Ivar A. Heikel,J.C.Hinrichs'sche Buchhandlung,1902,Greek,735774,data/tlg2018/tlg020,data
tlg2018.tlg021.1st1K-grc1.xml,urn:cts:greekLit:tlg2018.tlg021.1st1K-grc1,Constantini imperatoris oratio ad coetum sanctorum,Eusebius,Ivar A. Heikel,J.C.Hinrichs'Sche Buchhandlung,1902,Greek,210009,data/tlg2018/tlg021,data
tlg2018.tlg010.1st1K-ger1.xml,urn:cts:greekLit:tlg2018.tlg010.1st1K-ger1,Die Theophanie,Eusebius,Hugo Gressmann,J. C. Hinrichs'sche Buchhandlung,1904,deu,754868,data/tlg2018/tlg010,data
tlg2018.tlg010.1st1K-grc1.xml,urn:cts:greekLit:tlg2018.tlg010.1st1K-grc1,De Theophania (Fragmenta),Eusebius,Hugo Gressmann,J. C. Hinrichs'Sche Buchhandlung,1904,Greek,154604,data/tlg2018/tlg010,data
tlg0529.tlg002.1st1K-grc1.xml,urn:cts:greekLit:tlg0529.tlg002.1st1K-grc1,Liber de philosophorum sectis (epitome ap. Stobaeum),Arius Didymus,Friedrich Wilhelm August Mullach,Firmin-Didot,1881,Greek,268342,data/tlg0529/tlg002,data
tlg1602.tlg001.1st1K-grc1.xml,urn:cts:greekLit:tlg1602.tlg001.1st1K-grc1,Fragmenta,Philoxenus of Alexandria,,Teubner,1907,Greek,11423,data/tlg1602/tlg001,data
stoa0146d.stoa001.1st1K-lat1.xml,urn:cts:greekLit:stoa0146d.stoa001.1st1K-lat1,Acta Archelai,Hegemonius,Charles Henry Beeson,J. C. Hinrichs,1906,Latin,289175,data/stoa0146d/stoa001,data
stoa0146d.stoa001.1st1K-grc1.xml,urn:cts:greekLit:stoa0146d.stoa001.1st1K-grc1,Acta Archelai,Hegemonius,Charles Henry Beeson,J. C. Hinrichs,1906,Latin,51484,data/stoa0146d/stoa001,data
tlg0527.tlg054.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg054.1st1K-grc1,Σουζάννα (translatio Graeca),Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,19668,data/tlg0527/tlg054,data
tlg0527.tlg053.1st1K-grc1.xml,urn:cts:greekLit:tlg0527.tlg053.1st1K-grc1,Ἰεζεκιήλ,Septuaginta,Henry Barclay Swete D.D.,Cambridge University Press,1905,Greek,618574,data/tlg0527/tlg053,data
tlg0527.tlg053.perseus-eng2.xml,,Ezekiel,Old Testament,"Rainbow Missions, Inc.","Rainbow Missions, Inc.",2000-2024,English,360091,data/tlg0527/tlg053,data
